   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  2.15         1                 0.0000000e+00                 1.6740861e+00                 8.3846009e-01
   0 100  2.15         2                 1.5145840e+00                 1.4141263e+00                 0.0000000e+00
   0 100  2.15         3                 1.7448844e+00                 3.9634995e-01                 0.0000000e+00
   0 100  2.15         4                 0.0000000e+00                 2.6187070e-01                 1.5129858e+00
   0 100  2.15         5                 0.0000000e+00                 2.0351240e+00                 1.4360586e+00
   0 100  2.15         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15         7                 0.0000000e+00                 0.0000000e+00                 2.3500409e-01
   0 100  2.15         8                 2.0604758e-01                 3.0112962e-01                 9.1737072e-02
   0 100  2.15         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        10                 0.0000000e+00                 7.7552330e-02                 0.0000000e+00
   0 100  2.15        11                 0.0000000e+00                 1.0233520e-01                 0.0000000e+00
   0 100  2.15        12                 0.0000000e+00                 2.0786778e-01                 2.9125816e-01
   0 100  2.15        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        15                 0.0000000e+00                 1.7034538e-01                 2.1609768e-01
   0 100  2.15        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        17                 0.0000000e+00                 1.3114635e-01                 0.0000000e+00
   0 100  2.15        18                 0.0000000e+00                 0.0000000e+00                 6.4616468e-02
   0 100  2.15        19                 7.7298472e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        21                 1.5947200e+00                 2.3578714e+00                 5.5329231e+00
   0 100  2.15        22                 4.2139122e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.15        23                 0.0000000e+00                 5.8860834e-01                 0.0000000e+00
   0 100  2.25         0                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.25         1                 0.0000000e+00                 1.4202638e+00                 0.0000000e+00
   0 100  2.25         2                 0.0000000e+00                 2.2024506e+00                 0.0000000e+00
   0 100  2.25         3                 2.1553546e+00                 0.0000000e+00                 1.6618931e+00
   0 100  2.25         4                 0.0000000e+00                 0.0000000e+00                 1.1440937e+00
   0 100  2.25         5                 0.0000000e+00                 1.1775674e+00                 1.6663109e+00
   0 100  2.25         6                 0.0000000e+00                 8.3508528e-01                 0.0000000e+00
   0 100  2.25         7                 7.3544347e-01                 1.9426553e-01                 0.0000000e+00
   0 100  2.25         8                 2.5747122e-01                 1.4258767e-01                 1.6125584e-01
   0 100  2.25         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        12                 0.0000000e+00                 1.5560508e-01                 7.4903136e-01
   0 100  2.25        13                 6.9672019e-02                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        15                 0.0000000e+00                 3.0508742e-01                 3.9700778e-01
   0 100  2.25        16                 0.0000000e+00                 0.0000000e+00                 9.9965928e-02
   0 100  2.25        17                 0.0000000e+00                 3.4300746e-01                 0.0000000e+00
   0 100  2.25        18                 0.0000000e+00                 0.0000000e+00                 5.2319801e-02
   0 100  2.25        19                 0.0000000e+00                 3.1203302e+00                 0.0000000e+00
   0 100  2.25        20                 5.5181919e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.25        21                 2.3200495e+00                 1.7322099e+00                 5.2931828e+00
   0 100  2.25        22                 1.0204256e+00                 2.2731609e+00                 0.0000000e+00
